Name,Address,Prefecture,City,Phone,Other,Memo,Targets,BedCount,ICUBeds,DialysisBeds,DialysisPatients,HDFPatients,BetaMGPatients,ConsoleCount,GeneralBeds,DialysisRenewalYear
いずみの病院,高知県高知市薊野北町２－１０－５３,高知県,高知市,088-826-5511,,,,,,20,56,21,,20,238,
うずしお会 岩朝病院,〒772-0017 徳島県鳴門市撫養町立岩元地２８０,徳島県,鳴門市,886858855,,,,,,,,,,,20,
さくらの馬場ＣＬ,香川県高松市仏生山町甲４７１－５,香川県,高松市,087-889-3555,,,,,,10,20,17,,10,,
さぬき市民病院,香川県さぬき市寒川町石田東甲３８７－１,香川県,さぬき市,0879-43-2521,,,β2MG,,,22,32,27,1,22,175,
とくしま医療センター東病院,徳島県板野郡板野町大寺字大向北１－１,徳島県,板野町,088-672-1171,,,,,,30,29,,,20,276,
みやはら腎泌尿器科クリニック,愛媛県新居浜市八幡２－６－３０,愛媛県,新居浜市,0897-35-1235,,,,,,24,39,39,,23,,
もみのき病院,〒780-0952 高知県高知市塚ノ原６?１,高知県,高知市,088-840-2222,,,,,,,,,,,,
クニタクリニック,香川県観音寺市柞田町甲１８８８－１,香川県,観音寺市,0875-25-1577,,,,,,0,27,7,,18,19,
ミタニ病院,香川県高松市三谷町１６８０－１,香川県,高松市,087-864-8778,,,β2MG,,,10,16,10,1,10,,
三加茂田中病院,徳島県三好郡東みよし町加茂１８８３－４,徳島県,東みよし町,0883-82-3700,,,,,,17,20,5,,17,192,
三好病院,徳島県三好市池田町シマ８１５－２,徳島県,三好市,0883-72-1131,,,,,,10,15,,,10,206,
三豊総合病院,香川県観音寺市豊浜町姫浜７０８,香川県,観音寺市,0875-52-3366,,,β2MG,,,32,65,37,1,31,412,
住友別子病院,愛媛県新居浜市王子町３－１,愛媛県,新居浜市,0897-37-7111,,,β2MG,,,40,105,73,2,40,360,
公立学校共済組合四国中央病院,愛媛県四国中央市川之江町２２３３,愛媛県,四国中央市,0896-58-3515,,,,,,21,24,14,,21,229,
医療法人明世社 白井病院,香川県三豊市高瀬町上高瀬１３３９番地,香川県,三豊市,0875-72-3131,,,,,,0,0,0,,0,,
十全総合病院,愛媛県新居浜市北新町１－５,愛媛県,新居浜市,0897-33-1818,,,,,,29,65,53,,29,350,
博愛記念病院,徳島県徳島市勝占町惣田９,徳島県,徳島市,088-669-2166,,,,,,,,,,,210,
吉野川医療センター,徳島県吉野川市鴨島町知恵島字西知恵島１２０,徳島県,吉野川市,0883-24-2101,,,β2MG,,,50,160,95,3,50,290,
四国がんセンター,愛媛県松山市南梅本町甲１６０,愛媛県,松山市,089-999-1111,,,,,,,,,,,368,
団伸会 奥島病院,〒790-0843 愛媛県松山市道後町２丁目２?１,愛媛県,松山市,089-925-2500,,,,,,,,,,,,
図南病院,高知県高知市知寄町１－５－１５,高知県,高知市,088-882-3126,,,,,,,,,,,125,
国立病院機構四国こどもとおとなの医療センター,香川県善通寺市仙遊町２－１－１,香川県,善通寺市,0877-62-1000,,,,,,20,41,24,,20,667,
国立高知病院,高知県高知市朝倉西町１－２－２５,高知県,高知市,088-844-3111,,,,,,11,28,3,,11,402,
大幸医療センター,〒761-0823 香川県木田郡三木町井戸５２６?１,香川県,三木町,878991212,,,β2MG,,,40,102,75,1,40,,
大洲病院,愛媛県大洲市西大洲甲５７０,愛媛県,大洲市,0893-24-2151,,,,,,28,70,7,,28,142,
太田病院,香川県東かがわ市三本松１７５８,香川県,東かがわ市,0879-25-2673,,,,,,20,76,74,,20,60,
屋島総合病院,香川県高松市屋島西町２１０５－１７,香川県,高松市,087-841-9141,,,,,,14,39,30,,14,272,
岡病院,香川県さぬき市志度１５６２,香川県,さぬき市,087-894-5050,,,,,,,,,,,304,
